Name,Class,RaceFaction,Length,Crew,MaxWarp,Armament,ShieldType,HullMaterial,Role
VSS-1021,0,Vulcan,1494,286,8.47,Pulse Cannons,Ablative Shields,Duranium/Tritanium,0
IKS-1022,7,Klingon,410,383,9.25,Pulse Cannons,Regenerative Shields,Composite Hull,7
Cube-1023,3,Borg,364,8856,9.15,Photon Torpedoes,Deflector Shields,Composite Hull,3
JemHadar-1024,8,Dominion,336,289,8.29,Photon Torpedoes,Regenerative Shields,Adaptive Armor,8
IKS-1025,8,Klingon,928,683,7.07,Pulse Cannons,Regenerative Shields,Composite Hull,8
IKS-1026,8,Klingon,712,711,9.06,Plasma Torpedoes,Deflector Shields,Adaptive Armor,8
Cube-1027,4,Borg,1109,10549,9.98,Plasma Torpedoes,Ablative Shields,Adaptive Armor,4
Cube-1028,5,Borg,1173,47091,9.31,Phasers,Deflector Shields,Composite Hull,5
FMS-1029,7,Ferengi,802,110,6.95,Disruptors,Ablative Shields,Duranium/Tritanium,7
USS-1030,5,Federation,922,1064,9.77,Cutting Beam,Regenerative Shields,Composite Hull,5
CSS-1031,3,Cardassian,912,490,7.33,Plasma Torpedoes,Deflector Shields,Duranium/Tritanium,3
IRW-1032,1,Romulan,373,306,9.61,Phasers,Ablative Shields,Composite Hull,1
IKS-1033,3,Klingon,332,128,9.13,Plasma Torpedoes,Deflector Shields,Adaptive Armor,3
IRW-1034,7,Romulan,1433,1140,9.51,Phasers,Ablative Shields,Composite Hull,7
IRW-1035,2,Romulan,891,902,8.38,Plasma Torpedoes,Deflector Shields,Adaptive Armor,2
IKS-1036,2,Klingon,1271,204,6.64,Phasers,Ablative Shields,Adaptive Armor,2
JemHadar-1037,8,Dominion,340,77,7.52,Plasma Torpedoes,Regenerative Shields,Duranium/Tritanium,8
IKS-1038,0,Klingon,391,177,9.15,Polaron Beams,Regenerative Shields,Neutronium Alloy,0
IKS-1039,7,Klingon,686,294,6.55,Pulse Cannons,Ablative Shields,Composite Hull,7
FMS-1040,1,Ferengi,705,119,7.91,Phasers,Deflector Shields,Adaptive Armor,1
Cube-1041,2,Borg,791,35100,9.75,Disruptors,Deflector Shields,Adaptive Armor,2
JemHadar-1042,9,Dominion,358,218,9.3,Cutting Beam,Ablative Shields,Composite Hull,9
IRW-1043,1,Romulan,530,848,8.63,Phasers,Regenerative Shields,Duranium/Tritanium,1
IRW-1044,7,Romulan,335,541,8.03,Photon Torpedoes,Regenerative Shields,Duranium/Tritanium,7
FMS-1045,0,Ferengi,903,88,6.38,Polaron Beams,Deflector Shields,Adaptive Armor,0
CSS-1046,6,Cardassian,475,657,7.43,Phasers,Regenerative Shields,Neutronium Alloy,6
IRW-1047,2,Romulan,396,347,9.02,Disruptors,Regenerative Shields,Adaptive Armor,2
USS-1048,8,Federation,872,150,8.68,Photon Torpedoes,Regenerative Shields,Adaptive Armor,8
IKS-1049,3,Klingon,1214,481,7.08,Disruptors,Adaptive Shields,Adaptive Armor,3
IRW-1050,2,Romulan,340,937,9.09,Photon Torpedoes,Regenerative Shields,Duranium/Tritanium,2
Cube-1051,4,Borg,1392,14800,9.09,Cutting Beam,Deflector Shields,Neutronium Alloy,4
IRW-1052,3,Romulan,140,679,8.77,Phasers,Deflector Shields,Adaptive Armor,3
IRW-1053,2,Romulan,807,786,8.85,Cutting Beam,Ablative Shields,Neutronium Alloy,2
CSS-1054,1,Cardassian,1303,313,7.41,Disruptors,Ablative Shields,Adaptive Armor,1
IKS-1055,5,Klingon,579,112,8.31,Pulse Cannons,Ablative Shields,Adaptive Armor,5
JemHadar-1056,6,Dominion,1447,259,8.24,Pulse Cannons,Deflector Shields,Adaptive Armor,6
USS-1057,4,Federation,238,238,9.47,Photon Torpedoes,Ablative Shields,Neutronium Alloy,4
JemHadar-1058,9,Dominion,1449,219,8.53,Disruptors,Regenerative Shields,Composite Hull,9
USS-1059,7,Federation,887,1149,8.7,Disruptors,Deflector Shields,Adaptive Armor,7
FMS-1060,0,Ferengi,491,143,7.9,Polaron Beams,Ablative Shields,Duranium/Tritanium,0
IKS-1061,1,Klingon,388,800,8.73,Pulse Cannons,Deflector Shields,Neutronium Alloy,1
USS-1062,5,Federation,1156,587,8.93,Polaron Beams,Ablative Shields,Neutronium Alloy,5
CSS-1063,1,Cardassian,1165,718,8.71,Polaron Beams,Regenerative Shields,Composite Hull,1
USS-1064,4,Federation,1051,1067,9.57,Disruptors,Adaptive Shields,Composite Hull,4
IKS-1065,5,Klingon,229,548,7.76,Disruptors,Regenerative Shields,Adaptive Armor,5
FMS-1066,0,Ferengi,187,150,7.84,Cutting Beam,Adaptive Shields,Composite Hull,0
VSS-1067,5,Vulcan,582,249,9.05,Phasers,Adaptive Shields,Adaptive Armor,5
FMS-1068,5,Ferengi,1103,58,6.69,Phasers,Ablative Shields,Composite Hull,5
USS-1069,5,Federation,451,402,7.69,Plasma Torpedoes,Regenerative Shields,Duranium/Tritanium,5
JemHadar-1070,3,Dominion,537,67,8.63,Photon Torpedoes,Ablative Shields,Adaptive Armor,3
IRW-1071,1,Romulan,446,707,7.67,Pulse Cannons,Regenerative Shields,Adaptive Armor,1
CSS-1072,2,Cardassian,1169,374,9.29,Polaron Beams,Regenerative Shields,Duranium/Tritanium,2
IKS-1073,0,Klingon,1131,336,6.85,Polaron Beams,Regenerative Shields,Neutronium Alloy,0
FMS-1074,4,Ferengi,484,48,8.04,Disruptors,Ablative Shields,Neutronium Alloy,4
USS-1075,3,Federation,785,1005,8.16,Polaron Beams,Adaptive Shields,Adaptive Armor,3
IRW-1076,9,Romulan,301,246,9.64,Plasma Torpedoes,Adaptive Shields,Duranium/Tritanium,9
Cube-1077,2,Borg,1345,28967,9.12,Polaron Beams,Ablative Shields,Duranium/Tritanium,2
IKS-1078,0,Klingon,988,127,8.51,Pulse Cannons,Adaptive Shields,Neutronium Alloy,0
CSS-1079,8,Cardassian,1094,636,9.43,Disruptors,Adaptive Shields,Composite Hull,8
VSS-1080,6,Vulcan,868,280,8.55,Phasers,Regenerative Shields,Duranium/Tritanium,6
IKS-1081,5,Klingon,248,650,8.97,Cutting Beam,Regenerative Shields,Composite Hull,5
IRW-1082,5,Romulan,1368,1358,9.5,Pulse Cannons,Deflector Shields,Adaptive Armor,5
FMS-1083,4,Ferengi,760,185,7.43,Polaron Beams,Ablative Shields,Duranium/Tritanium,4
JemHadar-1084,1,Dominion,238,269,7.76,Photon Torpedoes,Deflector Shields,Adaptive Armor,1
Cube-1085,0,Borg,1103,45792,9.91,Polaron Beams,Ablative Shields,Neutronium Alloy,0
VSS-1086,4,Vulcan,896,212,8.93,Phasers,Ablative Shields,Duranium/Tritanium,4
VSS-1087,2,Vulcan,1172,263,9.01,Phasers,Deflector Shields,Neutronium Alloy,2
JemHadar-1088,1,Dominion,939,197,9.48,Disruptors,Ablative Shields,Duranium/Tritanium,1
IKS-1089,4,Klingon,596,561,7.35,Plasma Torpedoes,Regenerative Shields,Composite Hull,4
JemHadar-1090,0,Dominion,686,393,7.77,Polaron Beams,Deflector Shields,Neutronium Alloy,0
IRW-1091,3,Romulan,839,981,9.14,Pulse Cannons,Deflector Shields,Composite Hull,3
Cube-1092,8,Borg,401,47345,9.09,Disruptors,Adaptive Shields,Neutronium Alloy,8
FMS-1093,8,Ferengi,980,108,8.24,Pulse Cannons,Adaptive Shields,Neutronium Alloy,8
VSS-1094,2,Vulcan,1344,295,7.67,Disruptors,Adaptive Shields,Neutronium Alloy,2
IRW-1095,8,Romulan,1009,1495,7.64,Photon Torpedoes,Regenerative Shields,Composite Hull,8
IKS-1096,7,Klingon,525,448,8.09,Pulse Cannons,Regenerative Shields,Composite Hull,7
USS-1097,8,Federation,1412,253,8.68,Pulse Cannons,Deflector Shields,Composite Hull,8
CSS-1098,2,Cardassian,1386,442,8.11,Photon Torpedoes,Deflector Shields,Composite Hull,2
IKS-1099,2,Klingon,319,286,6.8,Pulse Cannons,Ablative Shields,Adaptive Armor,2
IRW-1100,3,Romulan,1043,1420,8.44,Cutting Beam,Regenerative Shields,Composite Hull,3
IKS-1101,4,Klingon,223,603,6.95,Pulse Cannons,Deflector Shields,Adaptive Armor,4
USS-1102,8,Federation,1492,603,7.53,Polaron Beams,Ablative Shields,Adaptive Armor,8
FMS-1103,4,Ferengi,882,66,7.53,Photon Torpedoes,Adaptive Shields,Neutronium Alloy,4
IRW-1104,0,Romulan,1132,1133,8.48,Cutting Beam,Adaptive Shields,Adaptive Armor,0
USS-1105,1,Federation,97,245,9.67,Plasma Torpedoes,Ablative Shields,Adaptive Armor,1
CSS-1106,5,Cardassian,906,509,7.61,Plasma Torpedoes,Deflector Shields,Composite Hull,5
VSS-1107,3,Vulcan,1446,93,8.61,Plasma Torpedoes,Regenerative Shields,Composite Hull,3
VSS-1108,7,Vulcan,625,92,8.98,Cutting Beam,Regenerative Shields,Neutronium Alloy,7
IKS-1109,6,Klingon,321,694,6.97,Photon Torpedoes,Ablative Shields,Neutronium Alloy,6
Cube-1110,4,Borg,252,48937,9.14,Photon Torpedoes,Ablative Shields,Neutronium Alloy,4
JemHadar-1111,1,Dominion,859,278,8.04,Photon Torpedoes,Ablative Shields,Composite Hull,1
IKS-1112,8,Klingon,1260,512,6.94,Plasma Torpedoes,Regenerative Shields,Duranium/Tritanium,8
JemHadar-1113,6,Dominion,1262,240,7.64,Plasma Torpedoes,Adaptive Shields,Duranium/Tritanium,6
Cube-1114,8,Borg,702,30385,9.43,Disruptors,Ablative Shields,Composite Hull,8
VSS-1115,2,Vulcan,168,144,9.15,Polaron Beams,Regenerative Shields,Adaptive Armor,2
FMS-1116,5,Ferengi,1108,84,7.71,Cutting Beam,Ablative Shields,Composite Hull,5
JemHadar-1117,8,Dominion,372,231,7.71,Polaron Beams,Regenerative Shields,Composite Hull,8
IKS-1118,5,Klingon,1363,787,8.94,Disruptors,Ablative Shields,Composite Hull,5
VSS-1119,1,Vulcan,1053,80,9.07,Pulse Cannons,Ablative Shields,Adaptive Armor,1
JemHadar-1120,4,Dominion,93,376,9.26,Plasma Torpedoes,Ablative Shields,Adaptive Armor,4
IKS-1121,3,Klingon,334,330,6.62,Plasma Torpedoes,Adaptive Shields,Duranium/Tritanium,3
CSS-1122,3,Cardassian,670,510,8.62,Pulse Cannons,Ablative Shields,Duranium/Tritanium,3
FMS-1123,8,Ferengi,454,57,6.71,Pulse Cannons,Deflector Shields,Adaptive Armor,8
VSS-1124,7,Vulcan,87,126,7.39,Disruptors,Ablative Shields,Neutronium Alloy,7
VSS-1125,5,Vulcan,748,229,8.49,Disruptors,Regenerative Shields,Duranium/Tritanium,5
USS-1126,7,Federation,219,891,7.91,Disruptors,Regenerative Shields,Adaptive Armor,7
Cube-1127,5,Borg,431,19089,9.03,Phasers,Deflector Shields,Composite Hull,5
IRW-1128,0,Romulan,1086,278,7.94,Plasma Torpedoes,Adaptive Shields,Neutronium Alloy,0
CSS-1129,1,Cardassian,1077,926,7.02,Plasma Torpedoes,Deflector Shields,Duranium/Tritanium,1
IKS-1130,0,Klingon,1478,679,8.13,Disruptors,Adaptive Shields,Composite Hull,0
VSS-1131,1,Vulcan,385,224,8.76,Cutting Beam,Deflector Shields,Adaptive Armor,1
FMS-1132,3,Ferengi,1454,60,7.96,Phasers,Ablative Shields,Adaptive Armor,3
USS-1133,2,Federation,1138,604,9.64,Plasma Torpedoes,Deflector Shields,Adaptive Armor,2
IRW-1134,0,Romulan,871,392,9.15,Polaron Beams,Ablative Shields,Composite Hull,0
VSS-1135,3,Vulcan,142,114,8.1,Disruptors,Deflector Shields,Neutronium Alloy,3
IRW-1136,1,Romulan,287,784,8.9,Phasers,Deflector Shields,Composite Hull,1
JemHadar-1137,0,Dominion,841,102,9.59,Phasers,Regenerative Shields,Neutronium Alloy,0
FMS-1138,8,Ferengi,234,46,7.89,Photon Torpedoes,Regenerative Shields,Duranium/Tritanium,8
VSS-1139,0,Vulcan,165,154,8.68,Photon Torpedoes,Regenerative Shields,Duranium/Tritanium,0
IRW-1140,2,Romulan,456,1207,8.4,Photon Torpedoes,Regenerative Shields,Composite Hull,2
IRW-1141,2,Romulan,1378,307,9.27,Plasma Torpedoes,Regenerative Shields,Adaptive Armor,2
VSS-1142,5,Vulcan,1244,169,7.79,Polaron Beams,Deflector Shields,Adaptive Armor,5
VSS-1143,7,Vulcan,1006,262,7.37,Polaron Beams,Deflector Shields,Duranium/Tritanium,7
Cube-1144,9,Borg,948,49546,9.05,Polaron Beams,Ablative Shields,Composite Hull,9
Cube-1145,6,Borg,1116,18395,9.23,Polaron Beams,Deflector Shields,Duranium/Tritanium,6
Cube-1146,0,Borg,771,23553,9.41,Pulse Cannons,Regenerative Shields,Duranium/Tritanium,0
CSS-1147,4,Cardassian,165,470,8.56,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,4
IRW-1148,4,Romulan,462,964,7.93,Polaron Beams,Regenerative Shields,Neutronium Alloy,4
IKS-1149,2,Klingon,679,670,7.3,Disruptors,Adaptive Shields,Composite Hull,2
CSS-1150,3,Cardassian,251,352,9.19,Pulse Cannons,Ablative Shields,Neutronium Alloy,3
Cube-1151,5,Borg,242,27296,9.38,Phasers,Regenerative Shields,Adaptive Armor,5
JemHadar-1152,7,Dominion,779,360,9.61,Cutting Beam,Regenerative Shields,Adaptive Armor,7
IRW-1153,7,Romulan,147,978,9.06,Plasma Torpedoes,Ablative Shields,Duranium/Tritanium,7
IKS-1154,4,Klingon,1283,770,8.93,Photon Torpedoes,Ablative Shields,Duranium/Tritanium,4
IKS-1155,7,Klingon,1395,339,8.82,Polaron Beams,Deflector Shields,Composite Hull,7
JemHadar-1156,6,Dominion,696,113,9.11,Phasers,Regenerative Shields,Composite Hull,6
IKS-1157,6,Klingon,1008,406,6.59,Cutting Beam,Ablative Shields,Adaptive Armor,6
VSS-1158,4,Vulcan,163,231,7.78,Cutting Beam,Deflector Shields,Duranium/Tritanium,4
Cube-1159,6,Borg,109,15160,9.05,Pulse Cannons,Regenerative Shields,Adaptive Armor,6
Cube-1160,7,Borg,960,35870,9.86,Phasers,Deflector Shields,Duranium/Tritanium,7
FMS-1161,1,Ferengi,585,104,6.4,Polaron Beams,Deflector Shields,Adaptive Armor,1
IKS-1162,0,Klingon,969,705,8.06,Plasma Torpedoes,Ablative Shields,Duranium/Tritanium,0
IKS-1163,8,Klingon,1314,570,8.23,Plasma Torpedoes,Regenerative Shields,Composite Hull,8
USS-1164,5,Federation,847,334,7.25,Disruptors,Deflector Shields,Duranium/Tritanium,5
CSS-1165,8,Cardassian,1311,879,7.48,Phasers,Adaptive Shields,Neutronium Alloy,8
Cube-1166,2,Borg,1282,11243,9.61,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,2
IKS-1167,7,Klingon,1155,792,6.84,Plasma Torpedoes,Regenerative Shields,Adaptive Armor,7
CSS-1168,2,Cardassian,242,238,7.09,Phasers,Regenerative Shields,Adaptive Armor,2
USS-1169,2,Federation,1198,233,8.85,Phasers,Regenerative Shields,Duranium/Tritanium,2
CSS-1170,2,Cardassian,509,979,9.18,Photon Torpedoes,Ablative Shields,Duranium/Tritanium,2
IKS-1171,6,Klingon,974,431,9.6,Cutting Beam,Adaptive Shields,Adaptive Armor,6
Cube-1172,2,Borg,711,29631,9.56,Phasers,Deflector Shields,Duranium/Tritanium,2
JemHadar-1173,5,Dominion,726,271,9.28,Polaron Beams,Deflector Shields,Neutronium Alloy,5
IKS-1174,1,Klingon,1277,103,8.33,Pulse Cannons,Adaptive Shields,Neutronium Alloy,1
IKS-1175,9,Klingon,587,582,7.02,Polaron Beams,Deflector Shields,Duranium/Tritanium,9
JemHadar-1176,1,Dominion,549,342,8.69,Polaron Beams,Adaptive Shields,Duranium/Tritanium,1
IKS-1177,7,Klingon,1303,193,7.69,Cutting Beam,Deflector Shields,Composite Hull,7
IRW-1178,5,Romulan,1298,1326,9.23,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,5
Cube-1179,8,Borg,1286,42955,9.53,Cutting Beam,Ablative Shields,Duranium/Tritanium,8
Cube-1180,3,Borg,609,17429,9.23,Pulse Cannons,Deflector Shields,Duranium/Tritanium,3
JemHadar-1181,9,Dominion,839,237,8.81,Disruptors,Adaptive Shields,Duranium/Tritanium,9
Cube-1182,6,Borg,638,34551,9.95,Plasma Torpedoes,Ablative Shields,Duranium/Tritanium,6
Cube-1183,8,Borg,1348,32891,9.16,Phasers,Regenerative Shields,Neutronium Alloy,8
JemHadar-1184,6,Dominion,886,242,8.99,Phasers,Deflector Shields,Neutronium Alloy,6
JemHadar-1185,7,Dominion,622,386,8.91,Pulse Cannons,Regenerative Shields,Adaptive Armor,7
FMS-1186,9,Ferengi,931,182,7.25,Phasers,Ablative Shields,Neutronium Alloy,9
IRW-1187,7,Romulan,1141,731,8.83,Pulse Cannons,Deflector Shields,Duranium/Tritanium,7
JemHadar-1188,3,Dominion,972,77,7.86,Phasers,Deflector Shields,Composite Hull,3
Cube-1189,4,Borg,899,46166,9.58,Phasers,Deflector Shields,Duranium/Tritanium,4
CSS-1190,0,Cardassian,1020,558,8.03,Phasers,Regenerative Shields,Adaptive Armor,0
IKS-1191,3,Klingon,169,254,9.33,Plasma Torpedoes,Adaptive Shields,Adaptive Armor,3
JemHadar-1192,8,Dominion,282,69,7.99,Photon Torpedoes,Adaptive Shields,Composite Hull,8
Cube-1193,3,Borg,1203,10444,9.45,Cutting Beam,Regenerative Shields,Adaptive Armor,3
IKS-1194,6,Klingon,1269,290,7.1,Polaron Beams,Adaptive Shields,Adaptive Armor,6
CSS-1195,6,Cardassian,1304,682,7.76,Plasma Torpedoes,Deflector Shields,Composite Hull,6
VSS-1196,3,Vulcan,1126,110,8.68,Phasers,Adaptive Shields,Adaptive Armor,3
VSS-1197,1,Vulcan,1476,100,7.16,Cutting Beam,Ablative Shields,Adaptive Armor,1
IRW-1198,9,Romulan,1342,1244,8.61,Phasers,Deflector Shields,Neutronium Alloy,9
JemHadar-1199,7,Dominion,404,335,7.75,Plasma Torpedoes,Deflector Shields,Composite Hull,7
Cube-1200,3,Borg,121,49912,9.01,Polaron Beams,Deflector Shields,Duranium/Tritanium,3
VSS-1201,8,Vulcan,1488,217,7.08,Photon Torpedoes,Deflector Shields,Adaptive Armor,8
CSS-1202,3,Cardassian,812,227,7.86,Photon Torpedoes,Deflector Shields,Neutronium Alloy,3
CSS-1203,4,Cardassian,346,780,9.16,Polaron Beams,Deflector Shields,Adaptive Armor,4
IRW-1204,8,Romulan,1087,247,9.42,Pulse Cannons,Adaptive Shields,Neutronium Alloy,8
CSS-1205,0,Cardassian,1108,313,9.02,Disruptors,Adaptive Shields,Adaptive Armor,0
VSS-1206,6,Vulcan,1015,228,8.78,Pulse Cannons,Ablative Shields,Neutronium Alloy,6
JemHadar-1207,9,Dominion,473,263,8.21,Polaron Beams,Ablative Shields,Adaptive Armor,9
VSS-1208,0,Vulcan,1277,136,7.86,Disruptors,Ablative Shields,Duranium/Tritanium,0
JemHadar-1209,0,Dominion,726,134,7.75,Photon Torpedoes,Ablative Shields,Duranium/Tritanium,0
USS-1210,6,Federation,844,796,9.88,Photon Torpedoes,Regenerative Shields,Adaptive Armor,6
FMS-1211,5,Ferengi,1053,116,7.4,Pulse Cannons,Regenerative Shields,Neutronium Alloy,5
IKS-1212,1,Klingon,325,141,6.53,Polaron Beams,Adaptive Shields,Composite Hull,1
CSS-1213,6,Cardassian,1198,829,8.35,Cutting Beam,Deflector Shields,Neutronium Alloy,6
VSS-1214,0,Vulcan,925,209,8.1,Photon Torpedoes,Regenerative Shields,Neutronium Alloy,0
USS-1215,4,Federation,765,760,9.88,Phasers,Regenerative Shields,Adaptive Armor,4
CSS-1216,6,Cardassian,870,943,7.65,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,6
IRW-1217,1,Romulan,411,1496,8.67,Disruptors,Ablative Shields,Adaptive Armor,1
USS-1218,4,Federation,1268,1018,8.07,Pulse Cannons,Regenerative Shields,Adaptive Armor,4
IRW-1219,8,Romulan,1015,491,8.49,Pulse Cannons,Deflector Shields,Adaptive Armor,8
JemHadar-1220,3,Dominion,1228,361,8.71,Cutting Beam,Regenerative Shields,Composite Hull,3
IKS-1221,1,Klingon,1185,520,8.08,Photon Torpedoes,Deflector Shields,Duranium/Tritanium,1
JemHadar-1222,0,Dominion,936,296,9.02,Photon Torpedoes,Regenerative Shields,Neutronium Alloy,0
USS-1223,7,Federation,897,190,7.92,Pulse Cannons,Deflector Shields,Duranium/Tritanium,7
FMS-1224,3,Ferengi,737,71,8.01,Phasers,Regenerative Shields,Neutronium Alloy,3
IRW-1225,8,Romulan,678,287,7.87,Photon Torpedoes,Ablative Shields,Adaptive Armor,8
Cube-1226,5,Borg,220,10802,9.51,Phasers,Deflector Shields,Duranium/Tritanium,5
CSS-1227,1,Cardassian,1060,725,9.42,Pulse Cannons,Deflector Shields,Composite Hull,1
IRW-1228,3,Romulan,115,641,8.4,Plasma Torpedoes,Ablative Shields,Composite Hull,3
VSS-1229,8,Vulcan,543,130,7.47,Plasma Torpedoes,Ablative Shields,Composite Hull,8
USS-1230,6,Federation,933,468,8.63,Cutting Beam,Ablative Shields,Neutronium Alloy,6
VSS-1231,4,Vulcan,485,237,8.1,Phasers,Adaptive Shields,Duranium/Tritanium,4
FMS-1232,4,Ferengi,1456,177,8.26,Disruptors,Ablative Shields,Duranium/Tritanium,4
IRW-1233,7,Romulan,421,755,9.47,Pulse Cannons,Deflector Shields,Duranium/Tritanium,7
VSS-1234,6,Vulcan,522,115,7.09,Photon Torpedoes,Regenerative Shields,Adaptive Armor,6
IKS-1235,4,Klingon,1458,329,6.89,Pulse Cannons,Adaptive Shields,Composite Hull,4
IRW-1236,2,Romulan,930,1138,9.8,Polaron Beams,Adaptive Shields,Adaptive Armor,2
FMS-1237,2,Ferengi,464,109,6.89,Phasers,Adaptive Shields,Adaptive Armor,2
FMS-1238,0,Ferengi,1398,113,7.43,Cutting Beam,Adaptive Shields,Neutronium Alloy,0
FMS-1239,1,Ferengi,113,72,6.61,Plasma Torpedoes,Adaptive Shields,Composite Hull,1
USS-1240,3,Federation,526,255,7.85,Polaron Beams,Deflector Shields,Adaptive Armor,3
IKS-1241,9,Klingon,299,737,8.3,Photon Torpedoes,Deflector Shields,Composite Hull,9
IRW-1242,4,Romulan,547,886,8.65,Disruptors,Adaptive Shields,Adaptive Armor,4
USS-1243,8,Federation,597,875,8.9,Disruptors,Deflector Shields,Adaptive Armor,8
USS-1244,2,Federation,1444,314,8.45,Pulse Cannons,Regenerative Shields,Neutronium Alloy,2
IKS-1245,1,Klingon,108,509,7.11,Photon Torpedoes,Ablative Shields,Adaptive Armor,1
IKS-1246,9,Klingon,1406,473,7.15,Plasma Torpedoes,Ablative Shields,Neutronium Alloy,9
IRW-1247,5,Romulan,1129,886,9.64,Photon Torpedoes,Deflector Shields,Composite Hull,5
VSS-1248,7,Vulcan,265,199,9.05,Polaron Beams,Adaptive Shields,Adaptive Armor,7
USS-1249,5,Federation,1240,1072,9.16,Cutting Beam,Ablative Shields,Composite Hull,5
Cube-1250,7,Borg,909,19001,9.07,Photon Torpedoes,Regenerative Shields,Composite Hull,7
USS-1251,4,Federation,453,223,8.24,Photon Torpedoes,Adaptive Shields,Composite Hull,4
CSS-1252,4,Cardassian,1471,1140,9.31,Pulse Cannons,Ablative Shields,Neutronium Alloy,4
FMS-1253,0,Ferengi,481,138,7.02,Photon Torpedoes,Deflector Shields,Composite Hull,0
JemHadar-1254,9,Dominion,864,295,8.34,Pulse Cannons,Regenerative Shields,Composite Hull,9
IRW-1255,9,Romulan,394,385,7.94,Phasers,Regenerative Shields,Adaptive Armor,9
FMS-1256,0,Ferengi,1337,49,7.41,Photon Torpedoes,Deflector Shields,Adaptive Armor,0
IKS-1257,3,Klingon,935,799,9.39,Photon Torpedoes,Deflector Shields,Adaptive Armor,3
IRW-1258,6,Romulan,706,1021,9.63,Plasma Torpedoes,Regenerative Shields,Adaptive Armor,6
VSS-1259,0,Vulcan,573,128,7.1,Polaron Beams,Deflector Shields,Neutronium Alloy,0
IKS-1260,4,Klingon,577,644,8.77,Phasers,Adaptive Shields,Adaptive Armor,4
FMS-1261,1,Ferengi,1070,59,7.03,Cutting Beam,Adaptive Shields,Composite Hull,1
IRW-1262,8,Romulan,992,321,8.5,Photon Torpedoes,Adaptive Shields,Composite Hull,8
Cube-1263,7,Borg,1112,26518,9.76,Cutting Beam,Deflector Shields,Neutronium Alloy,7
Cube-1264,6,Borg,417,29964,9.01,Cutting Beam,Regenerative Shields,Composite Hull,6
IKS-1265,9,Klingon,1095,655,6.88,Photon Torpedoes,Adaptive Shields,Adaptive Armor,9
CSS-1266,1,Cardassian,604,434,8.79,Disruptors,Adaptive Shields,Adaptive Armor,1
JemHadar-1267,3,Dominion,328,113,9.14,Pulse Cannons,Ablative Shields,Composite Hull,3
VSS-1268,2,Vulcan,629,267,8.52,Photon Torpedoes,Adaptive Shields,Adaptive Armor,2
JemHadar-1269,7,Dominion,169,134,8.72,Polaron Beams,Regenerative Shields,Duranium/Tritanium,7
VSS-1270,8,Vulcan,626,102,8.92,Photon Torpedoes,Adaptive Shields,Neutronium Alloy,8
USS-1271,1,Federation,507,678,9.1,Disruptors,Adaptive Shields,Duranium/Tritanium,1
USS-1272,1,Federation,108,1099,8.48,Disruptors,Regenerative Shields,Composite Hull,1
FMS-1273,4,Ferengi,1433,39,6.58,Polaron Beams,Regenerative Shields,Composite Hull,4
